第1話,くつしたがだるだるになっちゃうわけ!
第2話,本がキッチリつめこまれちゃうわけ
第3話,ひもがカタムスビになっちゃうわけ
第4話,コーンポタージュにかたまりが残っちゃうわけ
第5話,ミートソースが服についちゃうわけ
第6話,ストローがパックの中に落ちちゃうわけ
第7話,鼻毛がひょっこりでちゃうわけ
第8話,コースターがグラスにくっついちゃうわけ
第9話,メロディが頭からはなれなくなっちゃうわけ
第10話,イスがガタガタしちゃうわけ
第11話,居眠りしてるとガクンとなっちゃうわけ
第12話,満腹でもお菓子はたべられちゃうわけ
第13話,水たまりの水がはねちゃうわけ
第14話,体育館の天井にボールがはさまっちゃうわけ
第15話,忘れたころに探し物がみつかっちゃうわけ
第16話,自動販売機に入れたお札がもどってきちゃうわけ
第17話,タルトの底を切ったときカーンと音が鳴っちゃうわけ
第18話,パーカーのひもが片方だけ長くなっちゃうわけ
第19話,ビンのフタが固くて開かなくなっちゃうわけ
第20話,オタマに当たって水がはねちゃうわけ
第21話,会話の途中でとつぜんシーンとなっちゃうわけ
第22話,メガネが白くくもっちゃうわけ
第23話,道でお見合いしちゃうわけ
第24話,髪を切ったあと首筋がチクチクしちゃうわけ
第25話,グラスがドーンと倒れちゃうわけ
第26話,携帯電話をパカッと開きたくなっちゃうわけ
第27話,クリーミーな飲み物を飲むとヒゲがついちゃうわけ
第28話,なんでメモしたか忘れちゃうわけ
第29話,ついつい話を盛っちゃうわけ
第30話,思いついたとき思わず手を叩いちゃうわけ
第31話,イマドキ妖怪部がくじけないわけ（前編）
第32話,イマドキ妖怪部がくじけないわけ（後編）
第33話,メニューがパタッとたおれちゃうわけ
第34話,とけたアイスがぽとぽとたれちゃうわけ
第35話,プリンターに紙がつまっちゃうわけ
第36話,ごみ取りテープがベターッとはりついちゃうわけ
第37話,タグピンがどこかへいっちゃうわけ
第38話,吸っても吸ってもシェイクがでてこないわけ
第39話,落としたものが足の甲に当たっちゃうわけ
第40話,洋服のチャックが開かなくなっちゃうわけ
第41話,おせんべいがシケちゃうわけ
第42話,鼻がムズムズしちゃうわけ
第43話,シャンプーとリンスを間違えちゃうわけ
第44話,ないと思ったお菓子がひとつだけ残っているわけ
第45話,シャーペンの芯がヘコッとしちゃうわけ
第46話,お弁当が片寄っちゃうわけ
第47話,トングをカチカチしちゃうわけ
第48話,イマドキ妖怪がそこにいるわけ