第1話,マミタス、みらくるするのナー
第2話,勇者は仲間を集めるのナー
第3話,そんなつもりじゃなかったのナー
第4話,わらしべ長者で生きていきたいのナー
第5話,ブキミな音なんてこわくないのナー
第6話,ポコタン、師匠ができたスナー
第7話 ,形見のねこじゃらしを探すのナー
第8話,ギガント星占いなのナー
第9話,みらくる写真を撮りたいのナー
第10話,肩もみはタイヘンなのナー
第11話,ギガントバースデーっすナー
第12話,こんな家でてってやるのナー
第13話,新しい星をみつけるのナー
第14話,日記よ、現実になるのナー
第15話,謎の生物に会いたいのナー
第16話,アルパカを捕まえるんだナー
第17話,がんばれ、おにがわらパパ！なのナー
第18話,埋蔵金を埋めるんだナー
第19話,手おならしたいのナー
第20話,肉球裁判なのナー
第21話,ヨミヨミ激レアシールをみつけるのナー
第22話,レッツリサイクルなのナー
第23話,マミタス世界旅行なのナー
第24話,一日一善なんだナー
第25話,マミタス学園へようこそなのナー
第26話,ノートを返しに行く大作戦なのナー
第27話,猫もたまにはいいのナー
第28話,激走！梅木グランプリなのナー
第29話,すれちがいは、友情のもとなのナー
第30話,師匠としろのすけがいないのナー
第31話,ファッションショーで大バトル！なのナー
第32話,アリエナイザー魔法が使えないのナー