001,私のしっぽ,飯田里穂
002,オイラと彼女とカプセルと,髙橋郁哉
003,タワーをめざせ！,橋本甜歌
004,転校生は吸血鬼？,伊倉愛美
005,少年刑事スイリくん～おヒラメ様の謎を追え！,永島謙二郎
006,てるてる坊主と雨ボウヤ,ド・ランクザン望
007,３日前のボクに…,洸太レイシー
008,ユゲデール物語～ニセ王と伝説のヤカン～,ド・ランクザン望／篠原愛実／浅野優梨愛／一木有海／川﨑樹音／笠原拓巳／藤田ライアン／TIM
009,アイドルはやめられない？,篠原愛実
010,不思議なフシギなしあわせクッキー,村田ちひろ
011,となりのカブトムシ,川﨑樹音
012,戦え！サイバーキッズ大作戦,バーンズ勇気／近藤エマ／笠原拓巳
013,ユゲデール物語Ⅱ～黒ジョーキ魔法をうち破れ！～,木村遼希／木内梨生奈／浅野優梨愛／千秋レイシー／一木有海／藤田ライアン／TIM
014,サムネタ男とタコヤキ娘,藤本七海
015,網姫危機一髪！,一木有海
016,ぼくがぼくであること,木村遼希
017,鏡の国から来たワタシ,木内江莉
018,少年刑事スイリくん～事件だよ！全員集合,永島謙二郎
019,走れ！拓巳,笠原拓巳
020,ユゲデール物語～最終章,村田ちひろ／飯田里穂／前田公輝／ド・ランクザン望／洸太レイシー／バーンズ勇気／篠原愛実／橋本甜歌／髙橋郁哉／伊倉愛美／木内江莉／<br>永島謙二郎／近藤エマ／浅野優梨愛／千秋レイシー／一木有海／木内梨生奈／木村遼希／藤本七海／川﨑樹音／笠原拓巳／藤田ライアン／TIM