1,特許審査01,2014/4/7,話上手機,佐東みどり,片桐仁 佐藤誓 吉田里琴
2,特許審査02,4/14,お一人様専用スペース,佐東みどり,辻本耕志
3,特許審査03,4/28,イサンカプセル,佐東みどり,八代亜紀 本東地勝 柴やすよ 曽雌康晴
4,特許審査04,5/5,ソーシャルネットワーク線,佐東みどり,聖也 新谷あやか 岩永達也 菊池振吉 安楽涼
5,特許審査05,5/12,ふわふわダンス,佐東みどり,長野克弘 ジジ・ぶぅ 奥田海星 辻川幸代 堀雄貴
6,特許審査06,5/19,ホメゴケシ,本滝りま,土田大（声）おかなつこ（声）
7,特許審査07,6/2,どう生きる？ポン,本滝りま,羽場裕一 北村匠海
8,特許審査08,6/9,おもてなしマシーン,角田ルミ,松本じゅん おかなつこ（声）
9,特許審査09,6/23,通勤通学路直線化ロケット,佐東みどり,小松利昌 森田亜紀 土田大（語り）
10,特許審査10,6/30,告白しマシーン,佐東みどり,山中アラタ 三浦景虎
11,特許審査11,7/7,フューチャーギター,佐東みどり,冠徹弥 出口哲也 宮城マリオ おぐちえりこ 天野ジョージ
12,特許審査12,7/14,モバイルおでかけ複合発電機,えのもとぐりむ,金剛地武志
13,特許審査13,9/1,宇宙受信マシーン,佐東みどり,千葉一磨 宇野愛海 秋元龍太郎
14,特許審査14,9/8,土下座スーツ,木滝りま,升毅 田鍋謙一郎 佐野和真
15,特許審査15,9/15,ヒーロー3点セット,木滝りま,鈴木身来 野田孝之輔
16,特許審査16,9/22,絶交パーテーション,佐東みどり,金剛地武志
17,特許審査17,10/6,バースデーキャンドル吹き消し機,菊地肇,国分崇 平原夕馨 大山蓮斗
18,特許審査18,10/13,パーフェクトスケジュールランドセル,菊地肇,鈴木福
19,特許審査19,10/20,若返りネックレス,佐東みどり,我修院達也 佐々木希 三谷悦代 井上正大
20,特許審査20,10/27,最強帽子,佐東みどり,堀未央奈 能條愛未 齋藤飛鳥 井上小百合 床嶋佳子
21,特許審査21,11/10,魔物探知機,木滝りま,エド・はるみ
22,特許審査22,11/17,ノリノリのり,佐東みどり,鳥居みゆき
23,特許審査23,11/24,食べ方最適化マシーン,木滝りま,横山めぐみ 土田大（声）
24,特許審査24,12/8,ツッコミアーム,眞嶋浩一,
25,特許審査25,12/15,記憶イレイザー（前編）,菊地肇,若松武史
26,特許審査25,12/22,記憶イレイザー（後編）,菊地肇,若松武史
27,特許審査26,2015/1/12,リア充アーム,木滝りま,白鳥久美子 地主恵亮
28,特許審査27,1/19,完全武装かかし（前編）,佐東みどり,菊地秀規 山田一成 近野成美
29,特許審査27,1/26,完全武装かかし（後編）,佐東みどり,菊地秀規 山田一成 近野成美
30,特許審査28,2/2,対人好感度向上めがね,佐東みどり,岡田義徳 佐藤みゆき
31,特許審査29,2/2,改良型靴射出式天気,佐東みどり,片桐仁